"","index","PC1","PC2","muni_i","muni_j","muni_i_name","muni_j_name"
"207",207,1.78939545459111,-0.422376050165385,"CO76041","CO76147","Ansermanuevo","Cartago"
"208",208,1.0384154300687,-0.535477277463381,"CO76041","CO76243","Ansermanuevo","El Águila"
"209",209,1.59539380890064,-0.883099116643536,"CO76041","CO76246","Ansermanuevo","El Cairo"
"210",210,3.23329244099237,0.00346878701022186,"CO76041","CO66001","Ansermanuevo","Pereira"
"211",211,0.301841179014366,0.505394856795587,"CO76041","CO27660","Ansermanuevo","San José del Palmar"
"212",212,-0.0198370602840521,1.14986025979211,"CO05044","CO05059","Anzá","Armenia"
"213",213,0.400185581150832,0.817881534678538,"CO05044","CO05093","Anzá","Betulia"
"214",214,-0.42536621893122,1.11022036376485,"CO05044","CO05125","Anzá","Caicedo"
"215",215,1.57805925396751,-0.297751345079145,"CO05044","CO05240","Anzá","Ebéjico"
"216",216,2.68767895338819,-0.201180064267482,"CO05044","CO05042","Anzá","Santa Fé de Antioquia"
"217",217,-0.349304891276236,-0.598784286850917,"CO73043","CO73001","Anzoátegui","Ibagué"
"218",218,1.92579170745765,-0.564513069758928,"CO73043","CO63690","Anzoátegui","Salento"
"219",219,1.82408701140312,-0.548958955790995,"CO73043","CO73686","Anzoátegui","Santa Isabel"
"220",220,-0.757876048414661,0.236116733474007,"CO05045","CO05147","Apartadó","Carepa"
"221",221,-0.274930310683457,1.35168735875006,"CO66045","CO66088","Apía","Belén de Umbría"
"222",222,2.06180328559288,-0.646384800373139,"CO66045","CO66572","Apía","Pueblo Rico"
"223",223,-0.210309864256643,1.10062670860278,"CO66045","CO27660","Apía","San José del Palmar"
"224",224,-0.474430419373902,0.849714650272817,"CO66045","CO66687","Apía","Santuario"
"225",225,0.816229010204828,0.358447820297361,"CO25599","CO25368","Apulo","Jerusalén"
"226",226,0.542236366162398,-0.622193998924866,"CO15047","CO85015","Aquitania","Chámeza"
"227",227,0.877687926408435,-0.396071258884177,"CO15047","CO15226","Aquitania","Cuítiva"
"228",228,0.418929912734736,-0.221767377596434,"CO15047","CO15377","Aquitania","Labranzagrande"
"229",229,0.149806720107998,1.06854345457891,"CO15047","CO15464","Aquitania","Mongua"
"230",230,-0.0332950732055817,-0.382291456079111,"CO15047","CO15514","Aquitania","Páez"
"231",231,1.43627591972793,-0.839796332100579,"CO15047","CO15518","Aquitania","Pajarito"
